,index,Asphericity,Eccentricity,InertialShapeFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex
0,0,0.7582720195608622,0.9960461533361734,0.001316908899478726,0.08883726934238892,0.9664599240973053,733.88517951383,7983.930845009024,8261.005599860946,5.162939202530508,0.10546797924891871
1,1,0.7177298723396158,0.9944676054247018,0.0010483945610606964,0.10504371357135019,0.9253037075956526,882.5910987743885,7774.523464768302,8402.131539027272,5.0958084860706245,0.07705526551838038
2,2,0.7242395499845321,0.9947552053884432,0.001590452645272423,0.1022843162591222,0.915403286852344,575.5614853251716,5151.042649760006,5627.074671615066,4.616554700672138,0.05891136836213588
3,3,0.4990966724184754,0.9768724362868694,0.0010809465055706278,0.2138229249237704,0.9681582461939515,895.657871323488,4055.404976802642,4188.783179552882,3.9530638281105235,0.305399030863299
4,4,0.5356062359766598,0.9817901739908688,0.000729875273855676,0.18996856122785077,0.8940206229180746,1224.89506761241,5764.540428574752,6447.8830586249205,4.519498288925875,0.13500019864535653
5,5,0.7607152810213633,0.9961385972996823,0.0010176086228169247,0.08779461811421746,0.9648460207022739,948.150397970691,10419.99109010479,10799.641462500393,5.549540423258194,0.11286126381202342
6,6,0.5274359030076505,0.9809271853663329,0.0005455748962026894,0.19437555661472428,0.8401618585164468,1539.956959831073,6656.254129584331,7922.585466255167,4.549724752102992,0.10104192604929588
7,7,0.7590447171815128,0.9960343633772161,0.0009717664932855055,0.08896935973549502,0.9816295202153372,1010.1495853149713,11145.327511926036,11353.904179125662,5.357232223885768,0.11410914156725492
8,8,0.3738823287437659,0.9579425947232544,0.0003959543905263098,0.2869599017543724,0.7857400266800836,1984.4205430723057,5433.646446508728,6915.323468332172,4.395339382693035,0.12355428193300692
9,9,0.6355835335682161,0.9900064601300546,0.0010395706058333822,0.14102201565982056,0.8973508511414376,863.1937514451625,5492.671792663787,6120.985772373273,4.511734322034361,0.10157024054171117
10,10,0.7386435750468253,0.9952585176794863,0.0016782343973497655,0.0972650141954009,0.9749877061546379,580.9603877112274,5823.566062956087,5972.963583227418,4.493733474754882,0.12753235085857906
11,11,0.5381815072118156,0.9818230259874047,0.0008150106255419615,0.18979869767976823,0.9297373373133757,1140.7671362506765,5588.098404878391,6010.405499069331,4.226906596103795,0.22626138897461728
12,12,0.7168602645425876,0.9943919383883464,0.0005299445390990896,0.10575761376027507,0.9487677693068712,1790.3152109460077,16061.192274020786,16928.475854269796,5.971311775178949,0.09822289155305362
13,13,0.5556047797075996,0.9836808243531311,0.0007313040802705148,0.1799223048983767,0.9077187889255148,1241.233043017814,6262.094937138762,6898.716886263125,4.2677024001582655,0.12130455638627342
14,14,0.32787366975903304,0.9477100087224837,0.00034452572496714484,0.3191327926854745,0.7907883751733833,2295.2955842377096,5687.579299915031,7192.289970964745,4.5374181724004625,0.1929900552538654
15,15,0.5680609736623391,0.9844538783539067,0.0004590889753392149,0.17564327881803882,0.9565722566443544,2083.631513776944,11347.682146230834,11862.859357889372,5.141283104883709,0.13606855144448182
16,16,0.627392508319499,0.9893055339946233,0.0007332989856940939,0.14585801454707106,0.9459570887967185,1290.0019054319787,8366.2625656463,8844.230530888457,4.82964384068016,0.16178223444810214
17,17,0.5697830367697526,0.9850156208511285,0.000904913893798114,0.17246514627386525,0.8920845457950032,985.8225759477917,5099.216299056435,5716.068418730583,4.395406713493938,0.1311850009306181
18,18,0.5875696255661399,0.9860911546800937,0.000610315551222303,0.16620539901483264,0.9645267814643385,1580.3739221991684,9171.260270268975,9508.559478613155,4.742460808543332,0.1551952786157671
19,19,0.6221361100419869,0.9891023988911177,0.0006659608016636306,0.14722922436743374,0.889887672510987,1336.2463230387834,8076.583541204687,9075.958450368318,4.872737788103686,0.07501735546317287
20,20,0.49574966538203186,0.976953080956578,0.00041281059816625264,0.2134541580982911,0.937560918886027,2271.164846665201,9975.703540057277,10640.05905014686,5.062738846451714,0.15650493304901322
21,21,0.6869780546015481,0.9929909770515795,0.0010995840552109407,0.1181901835777804,0.920916362894157,837.5133838381199,6525.751597735728,7086.1501225011325,4.560936154986629,0.08428173175708219
22,22,0.7518476693782693,0.9958151212688967,0.0006983391496589609,0.0913906135892108,0.9626082172751634,1378.425107263799,14518.81416525666,15082.786438655996,5.8301752533766384,0.10328589043638506
23,23,0.7292030721601582,0.9949285602835554,0.0012664570412892905,0.10058409383243368,0.9514619776409157,751.2785247514589,7106.620179031517,7469.158354232811,4.607917590203847,0.08987458433703066
24,24,0.7267920544916124,0.994657355529679,0.001431043556620426,0.10323151210122632,0.9966267787348565,696.4335740335573,6723.57050055864,6746.327355455682,4.715979810118979,0.16404039150952585
25,25,0.588019121653588,0.9864927737100075,0.0007049001011761943,0.16380478447815788,0.9131262293303243,1295.3980681896405,7221.168522373157,7908.18212249699,4.8198772100870775,0.1350878721788176
