,compare,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
51,pred=exp,12.327720096727653,0.0866627730701508,12.327720096727653,0.0866627730701508,0.2777327126068813,374.37700000000007,349.17700000000013,373.10284220009004,127,1,0.2043977897312435,-0.31440722386190995,0.31440722386190995,0.2043977897312435,1.2173913043478262,1.9565217391304348,2.608695652173913,1.8874096053588982,550.068277399189,16.819626477379412,13.883980314817816,16.21233478778245,11.024075805453153,8.350908780006797,10.09243628567874,6.155434691935162,8.1065847761025,4.188377503868291,6.067416876703098,2.5405988954499352,4.168047169931983,-0.2200000000000001,200286.40561925306,19.109343625793212,9.311961594045911,5.970167868866057,153.45587558810274,4.899909730850478,6.544756405912576,5.783244946364938,6.0418408291479615,0.0,0.0,4.794537184071822,0.0,0.0,11.761884949391115,49.38808184893369,24.306409366596018,17.382672166905394,23.01084465632124,9.6944469149223,40.7470096762211,0.0,0.0,0.0,50.847065989529064,18.842366418571935,33.783293085250826,0.0,0.0,4.899909730850478,0.0,0.0,34.963764729856145,24.62561136493688,0.0,6.0418408291479615,56.30957118978012,17.028217612440994,10.045266627482652,0.0,0.0,21.51,0.0,4.794537184071822,0.0,5.783244946364938,22.029539742105662,23.737849894089717,36.62503705170248,17.828252017852726,6.06636706846161,13.847474399381248,23.20187978046503,0.0,14.381760935111554,14.721502666224302,1.1639039273116658,0.5610210304533001,1.1251286008230457,5.022771185261884,5.469643820436393,6.276490056600082,0.0,0.5555555555555556,23,1,2,0,1,1,1,0,1,2,1,5,10,0,1,1,2,4.688990000000004,99.88920000000006,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0
538,pred=exp,13.846529603659935,-4.227841604349003,13.846529603659935,0.053509309916895065,0.3908422858182547,567.0210000000002,545.8530000000003,566.0464078919101,196,0,0.267693150560162,-0.5497442469833321,0.5497442469833321,0.267693150560162,1.2702702702702702,2.054054054054054,2.756756756756757,1.7510063219980967,1458.1631496335672,26.741911729260263,19.647403308531718,22.03632541640563,17.632597384265157,10.891855003903984,13.58953561696874,7.7484182336527905,10.873689026848767,5.201902062979244,8.077931248482923,3.6148116860206567,6.2933393993532265,-3.55,182507498.74605417,26.511265502661637,10.825805808312698,5.577064854276793,221.15096015853905,24.111653440312672,10.644995308801679,16.630582146407143,6.792942306099827,15.930470882759087,0.0,14.416541779374388,13.401775505276143,0.0,11.336785877934735,18.524677089923138,36.75265696523406,34.90103089269467,18.491111810809556,37.32398760871343,55.6564466934011,0.0,4.9839785209472085,0.0,24.660863921060415,30.0695008485925,51.99191091306074,0.0,17.248535499851716,28.93912085154341,10.818944754522896,17.248535499851716,22.937725768167248,45.725756775869435,21.238649960405414,0.0,29.39647549323391,40.60738158829174,5.022633313741326,0.0,0.0,147.18999999999997,28.320597793636953,23.113398747313283,0.0,62.580675242191575,6.4208216229260096,15.642001869230972,42.82169565405149,6.923737199690624,0.0,10.30076712495354,25.81152875163266,45.134152465225,7.140376256498449,27.77399744211367,15.252313001350544,0.41058385187999935,-1.4458939239801645,7.061192422211192,0.04745754312749817,1.697880589270773,-2.877615203252503,0.2608695652173913,37,1,11,0,1,1,2,1,3,10,1,14,10,0,0,0,4,2.6838000000000006,134.17,1,0,0,0,0,1,0,0,1,1,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
149,pred=exp,14.312617673238266,-0.9085639927586168,14.312617673238266,0.015173474996832416,0.4214259660688097,669.7590000000001,628.4310000000003,669.3036726519999,257,7,0.2521605547196916,-0.5079666451434067,0.5079666451434067,0.2521605547196916,0.7551020408163265,1.3673469387755102,2.020408163265306,1.7253475273617511,1515.4837606673511,35.82733368795765,28.331457611295427,28.331457611295427,23.27667245862505,15.809105926566453,15.809105926566453,12.179498769527006,12.179498769527006,8.300018358186648,8.300018358186648,5.5217801350315785,5.5217801350315785,-4.94,45404990888.65853,36.8883048342406,16.44480290290265,9.15264323150762,287.1378711645094,35.33974352625528,5.749511833283905,30.712119722504422,11.814359458703013,23.628718917406026,0.0,28.76722310443093,0.0,0.0,0.0,56.312043878612506,48.44000803525663,40.529415599796174,6.544756405912576,33.873750499271644,35.443078376109035,0.0,30.233216131414572,0.0,45.951582514011285,34.23252875985672,102.35423236821433,0.0,5.749511833283905,10.633577208012662,0.0,5.749511833283905,0.0,94.38177345420841,41.60886635028295,36.63002576866582,44.23684225155328,54.59730361615449,0.0,0.0,0.0,159.67,41.98783478202161,33.873750499271644,0.0,62.14491804749237,11.984273114623006,21.281176999559342,43.07556954665575,36.398202410769656,19.913841467842854,17.178333613925236,0.0,0.0,0.0,86.93399629859105,14.382445214377153,1.3223844464892154,-3.2443953535616785,15.326115050693755,0.8188886002657774,5.522909395864463,4.2709896806135985,0.3333333333333333,49,3,13,0,2,2,2,0,2,7,3,13,6,0,2,2,4,1.5921400000000037,177.78919999999954,0,0,0,0,0,0,0,1,0,0,6,6,0,0,0,4,2,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,pred=exp,12.577664177607154,-2.1148637401251658,12.577664177607154,0.04777395087453562,0.4702791621377014,424.39100000000013,408.26300000000015,424.13335419199996,157,1,0.5071550398885479,-0.4250256640732757,0.5071550398885479,0.4250256640732757,1.1290322580645162,1.870967741935484,2.5161290322580645,1.4107313036311997,1157.4787333095487,21.794317972067567,16.211752708339155,16.211752708339155,14.974366886035767,9.124629935596511,9.124629935596511,6.581680352828429,6.581680352828429,4.426073792766282,4.426073792766282,2.894106798319213,2.894106798319213,-4.15,15295211.439860124,20.136162807336518,8.69384075681225,4.887469389043958,174.5991530403155,10.053651557806381,5.749511833283905,11.518332492848387,0.0,5.9071797293515065,6.611505086446102,9.476340119217006,5.098681808301039,13.879511903650675,5.098681808301039,12.13273413692322,65.37852836192862,16.944765761229018,6.544756405912576,18.312230233221513,11.594566004035068,0.0,30.404618551358038,0.0,13.468493605603198,5.316788604006331,78.16011618399452,0.0,17.137367822980828,10.053651557806381,14.468216370033202,5.749511833283905,0.0,36.31179828070954,6.544756405912576,13.535242286136725,21.745844665465736,54.59730361615449,0.0,11.387855989696925,0.0,110.61,6.611505086446102,13.575367279421464,0.0,17.350619557483867,18.056547178596066,16.82083097824245,12.13273413692322,47.14637241437645,6.923737199690624,35.776467174019224,0.0,30.265045790189948,0.0,12.577664177607154,20.69223084804349,3.2423273234987837,0.22225341358366046,14.910926289763218,0.0,0.08955215731374988,0.0,0.1,31,2,9,0,0,0,2,2,4,7,2,11,7,0,0,0,4,3.4370100000000017,106.1619,0,0,0,0,0,6,1,0,0,0,1,1,0,0,0,5,2,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
587,pred=exp,10.768096585486557,-1.1408688166624663,10.768096585486557,0.2386278292181072,0.8002492437358345,228.247,216.15099999999995,228.07919282391003,87,1,0.1189993794270514,-0.5491499103955154,0.5491499103955154,0.1189993794270514,1.1176470588235294,1.7647058823529411,2.411764705882353,2.478964438638834,560.3959195741091,12.413849083443589,9.688846486529345,9.688846486529345,8.113392202930193,5.2466884695848295,5.2466884695848295,3.840317755905297,3.840317755905297,2.7866079907176826,2.7866079907176826,1.7019017893526676,1.7019017893526676,-2.03,7938.521015168045,11.455255502156716,4.454042614687935,2.228492726961196,99.64213719056524,14.63792753271258,5.749511833283905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.26546827384644,35.39237125724044,5.917906046161393,13.079102829229386,14.63792753271258,16.74175371688144,0.0,0.0,0.0,6.923737199690624,7.1097975412775325,47.87955994862804,0.0,5.749511833283905,9.843390348640755,0.0,5.749511833283905,0.0,13.079102829229386,4.794537184071822,5.917906046161393,12.48718869138762,36.398202410769656,0.0,10.772448428929591,0.0,49.36,5.9693052879518484,9.901064578912528,0.0,5.917906046161393,5.563451491696997,16.521960262213494,0.0,20.099901809429763,30.33183534230805,0.0,4.736862953800049,5.1288797293608805,0.0,10.768096585486557,12.757122473619587,0.6691359599395316,-0.11904397098345365,11.139477513227513,0.0,1.5416898148148146,1.6146418945345713,0.14285714285714285,17,0,3,0,0,0,2,0,2,3,0,3,3,0,0,0,2,1.54079,63.52600000000003,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,pred=exp,12.539417627591849,0.3117553656627434,12.539417627591849,0.3117553656627434,0.3024161237665292,333.54100000000005,302.293,333.2120870320901,127,1,0.20439778971744904,-0.31440722796665,0.31440722796665,0.20439778971744904,1.1304347826086956,1.7826086956521738,2.347826086956522,1.8907421506304145,517.4383655274033,16.819626477379412,15.12805136879936,15.944547949727086,11.024075805453158,8.972944306997569,9.958542866651056,6.825027856740423,7.9933558025901315,4.662609647536522,5.7244445210921135,3.132888010845884,4.237272041030677,-0.8000000000000002,192789.56492550464,18.537395957193816,8.886472715318869,5.647450572320497,145.57922736313262,4.899909730850478,6.544756405912576,5.783244946364938,6.0418408291479615,0.0,0.0,4.794537184071822,0.0,0.0,11.761884949391115,26.186202068468646,49.28078674937126,17.382672166905394,12.965578028838587,9.6944469149223,17.545129895756055,0.0,0.0,0.0,64.69454038891031,18.842366418571935,34.86492944116217,0.0,0.0,4.899909730850478,0.0,0.0,11.761884949391115,24.62561136493688,0.0,19.88931522852921,67.4364741731741,17.028217612440994,0.0,0.0,0.0,21.51,0.0,4.794537184071822,0.0,0.0,12.204066569290948,29.77986728691614,47.27337413396704,0.0,11.761884949391115,39.82768293568572,0.0,0.0,1.9294032752627628,15.346552111928506,0.0,3.2493975631651497,1.4919187242798355,5.8886106511922875,5.897809220341211,10.696308453830245,0.0,0.6,23,1,2,0,1,1,1,0,1,2,1,3,10,0,1,1,2,3.9990300000000016,99.34320000000008,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0
450,pred=exp,12.860840590208928,-0.4705571406301201,12.860840590208928,0.06443457566948663,0.6526290214893388,433.4440000000001,412.2760000000002,433.151194772,163,1,0.4114649186708464,-0.4837792749189706,0.4837792749189706,0.4114649186708464,1.15625,2.03125,2.90625,1.3134603053174605,1130.4252458608216,21.91563831562721,17.244325079455486,17.244325079455486,15.669836433395455,10.424184581966436,10.424184581966436,7.5471007327532975,7.5471007327532975,5.409524667042586,5.409524667042586,3.7910592068987787,3.7910592068987787,-3.88,40004748.231930174,20.04673334274181,8.69876169034511,4.136932762107625,183.86322029878792,18.896730575423923,12.356393797796825,12.648722793660882,5.824404497999928,11.797903651377414,6.093240070938416,10.111325788078151,4.794537184071822,4.9839785209472085,0.0,23.35576446251028,49.594300211086086,17.671659389306566,5.687386274683562,23.58589521271709,17.687806074973487,0.0,15.04055150892313,0.0,25.869346833290948,18.468426974431825,66.02695279056374,0.0,17.137367822980828,10.053651557806381,10.481923458755382,5.749511833283905,0.0,40.19260967963855,16.13828210238479,6.0418408291479615,30.71664028250093,53.054031484666226,0.0,11.387855989696925,0.0,106.79,6.093240070938416,9.589074368143644,0.0,19.120943658377346,42.15944538597985,23.968546229246012,0.0,17.032643867773697,36.398202410769656,15.457430382078984,13.996820844573445,16.17273518377224,0.0,30.437807092997406,6.760465726917873,2.2633260766662957,1.2340571002544802,15.394943579305988,2.0365206263158333,0.7001446137698856,0.0,0.2608695652173913,32,1,9,0,2,2,2,1,3,7,1,9,5,0,1,1,5,3.770290000000002,113.3877,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
608,pred=exp,12.348416477702193,-0.7442387517505449,12.348416477702193,0.005757480496803914,0.4422578989002421,370.43300000000016,346.24100000000016,370.18736604809,142,4,0.28942281984907164,-0.36751929842603176,0.36751929842603176,0.28942281984907164,1.0740740740740742,1.7407407407407407,2.3703703703703702,1.9455374135328032,829.6143836897172,20.13746372257519,15.60306004890244,15.60306004890244,12.70128505815564,8.366408280449681,8.366408280449681,6.412326470868403,6.412326470868403,4.026427580906722,4.026427580906722,2.5437748735650865,2.5437748735650865,-2.87,834764.6892710547,20.44201065244652,8.677658151450357,5.070420291106731,157.600663391982,27.08489068328424,6.0418408291479615,6.0418408291479615,17.856200287850967,5.9071797293515065,0.0,14.383611552215465,0.0,0.0,0.0,32.046575604766076,18.553555759849235,29.43849617278153,0.0,20.11727902937765,28.62446412013557,0.0,15.617555728959873,5.733667477162185,27.19203322199788,0.0,60.069191870761784,0.0,0.0,22.100912162337032,0.0,0.0,0.0,22.70551770900173,20.804433175141472,24.04342853360527,26.33466309076887,30.462311845459514,0.0,10.902924932081056,0.0,144.72,17.721539188054518,14.383611552215465,0.0,12.08368165829592,18.380568498235363,16.466376423778055,6.923737199690624,13.847474399381248,30.462311845459514,21.35122320612205,5.733667477162185,0.0,0.0,39.01458388655889,5.9272818737866535,10.957024828435328,-1.2556067995364104,8.110590520659827,2.1722377482392816,4.740554608523098,0.0,0.21052631578947367,27,8,8,0,0,0,1,1,2,3,5,8,8,0,0,0,2,-0.09983999999999872,100.36460000000004,0,0,0,0,0,1,1,0,0,0,3,3,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
663,pred=exp,2.5150462962962963,1.0956018518518518,2.5150462962962963,1.0956018518518518,0.8438157788603834,267.396,244.21199999999996,267.18557515608995,104,0,0.07700689775303843,-0.3486336927459737,0.3486336927459737,0.07700689775303843,0.9,1.45,2.0,1.9961712661354007,529.6358349258868,13.7862462825598,12.178899924139333,12.178899924139333,9.898178147766922,7.610847240736084,7.610847240736084,5.459539441623828,5.459539441623828,4.103019341463406,4.103019341463406,3.0646417383459736,3.0646417383459736,-1.7999999999999994,64665.059230662206,13.195490638172727,6.101275951557094,2.5649296894273723,120.98201471222285,10.216698334856806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.398202410769656,36.10128036616924,24.340350578205708,13.592428388589767,5.316788604006331,11.374772549367124,0.0,0.0,0.0,19.262464868778032,25.03709452535282,59.657839531086864,0.0,0.0,10.216698334856806,11.374772549367124,0.0,0.0,20.13718479450234,12.841643245852019,0.0,17.547724606320003,48.53093654769288,0.0,0.0,0.0,19.85,0.0,0.0,0.0,0.0,0.0,19.38639965176459,35.467253561599705,0.0,0.0,65.79530686522688,0.0,0.0,0.0,2.5150462962962963,2.2595545162509447,5.745798374905518,0.0,17.73370134164777,3.492408194759385,2.276984599395313,2.1431733434114393,0.3333333333333333,20,2,2,0,1,1,2,0,2,1,1,2,4,0,0,0,3,2.5066000000000006,84.63140000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
344,pred=exp,13.547326168760948,-4.097664501237471,13.547326168760948,0.02377971004479917,0.5120850237266577,515.9510000000004,495.7910000000004,515.06852323991,182,0,0.2678105106676953,-0.5498062172794265,0.5498062172794265,0.2678105106676953,1.1142857142857143,1.8571428571428568,2.5428571428571427,1.6346815986736285,1391.4816198094259,25.16456146007064,18.485987427675997,20.05841295462217,16.683908979281412,10.420934345547725,12.238962147357588,7.603153030459312,9.870320971797273,5.295746322253575,7.365238904483687,3.6308917399600142,5.503153587295,-3.759999999999999,58484943.93691491,24.36728185867761,9.847325219794989,5.178847650317687,206.44751944888085,24.69157909051896,23.001389106598506,0.0,0.0,15.930470882759087,0.0,9.099753175368056,8.417796984328938,0.0,0.0,23.733674027155732,54.094388039389884,28.663597990999737,19.34194022187367,32.587124654913374,44.875488610310576,0.0,0.0,0.0,11.316305098443785,29.88344050700559,76.81320698175143,0.0,11.49902366656781,24.202257897743362,11.374772549367124,11.49902366656781,11.600939890232516,40.55571791333532,21.238649960405414,0.0,15.921440167465816,65.55915416013387,5.022633313741326,0.0,0.0,125.07,21.899776170710936,23.113398747313283,0.0,46.49092638227506,17.000349599664464,4.305215991296234,43.507999952047186,24.26546827384644,0.0,5.316788604006331,21.074665797832612,39.09510195290351,6.048968656511227,23.49033911146081,13.663846731763318,1.3814692577105816,-1.2369058978246243,15.072839709796273,-0.23534815470143175,0.1476545350487728,-2.733521458223985,0.16666666666666666,35,1,9,0,1,1,3,0,3,7,1,11,7,0,0,0,4,2.4810000000000008,127.57900000000002,1,0,0,0,0,0,0,0,1,1,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
