,diff,Assay ID,SMILES
313,0.027539617597620136,CHEMBL3431937,"c1ccc(OCC(=O)N2CCCC[C]2c2[nH]nc(c3cccc(c4n[nH]c(=O)o4)c3)n2)cc1	
"
613,0.0276231118040835,CHEMBL905612,"N(C(=O)C)[C](Cc1ccc(O)cc1)C(=O)N[C](C[C](C)C)C(=O)N	
"
633,0.028095575189528432,CHEMBL905612,"c1cc(C(=O)NN(C(C)(C)C)C(=O)c2ccccc2)ccc1	
"
330,0.02826616420120942,CHEMBL3431937,"c1ccc(OCC(=O)N2C[C]3C[C]3[C]2c2nc(c3ccc4c(CC(=O)N4)c3)no2)cc1	
"
251,0.028293969699577204,CHEMBL3431937,"CS(=O)(=O)Nc1cccc(c2[nH]c([C]3CCCCN3C(=O)COc3ccccc3)nn2)c1	
"
609,0.028614643935380712,CHEMBL905612,"N(C(=O)C)[C](Cc1c[nH]c2c1cccc2)C(=O)N[C]([C](C)C)C(=O)N	
"
761,0.028632431163194028,Astellas,"C(=O)(N1CCC2(COc3ccccc3C(=O)NCCOCCCC2)CC1)CCN(C)C	
"
382,0.028682246161645608,CHEMBL3431937,"Cc1cccc(S(=O)(=O)N2CCOc3c2cc(C(=O)Nc2nc(CC(=O)[O-])cs2)cc3)c1	
"
665,0.028766580048875667,CHEMBL905613,"c1(N2CC[NH2+]CC2)c(F)cc2c(n(CC)cc(C(=O)[O-])c2=O)c1	
"
275,0.028854224453770172,CHEMBL3431937,"c1ccc(OCC(=O)N2CC[NH2+]C[C]2c2nc(c3ccc4c(CC(=O)N4)c3)no2)cc1	
"
506,0.02890426428903048,CHEMBL3431937,"CN(S(=O)(=O)c1cc(Cl)ccc1OC)c1cc(C(=O)Nc2ccc(C(=O)[O-])cc2)cc2c1OCCO2	
"
391,0.028984009099533026,CHEMBL3431937,"CC(=O)NCc1cccc(c2[nH]c([C]3CCCCN3C(=O)COc3ccccc3)nn2)c1	
"
224,0.02909417022089933,CHEMBL3431937,"c1ccc(OCC(=O)N2CCCC[C]2c2nc(c3ccc4c([nH]cn4)c3)on2)cc1	
"
79,0.02917191789755602,CHEMBL1034536,"C(=O)(c1c(Cl)c(Cl)c(OCCCCCC)cc1)CC[NH+](C)C	
"
451,0.029251634069286325,CHEMBL3431937,"Cc1cc(C)cc(S(=O)(=O)N2CCc3c2cc(C(=O)Nc2nc(CC(=O)[O-])cs2)cc3)c1	
"
386,0.029263894887460395,CHEMBL3431937,"Cc1ccc(OC)c(S(=O)(=O)n2ccc3c2cc(C(=O)Nc2ccc(CC(=O)[O-])cc2)cc3)c1	
"
363,0.02988148384091005,CHEMBL3431937,"c1ccc(OCC(=O)N2CCCC[C]2c2nc(c3ccc4nccn4c3)no2)cc1	
"
716,0.02990702302836823,CHEMBL905613,"c1(c(cccc1)O)C(=O)[O-]	
"
